,facility_available_name,facility_is_available,place_name
751,주출입구 높이차이 제거_AB엔터테인먼트-연예기획사,이용가능,AB엔터테인먼트-연예기획사
752,주출입구 접근로_Amazing B/D,이용불편,Amazing B/D
753,장애인 전용 주차구역_Amazing B/D,이용가능,Amazing B/D
754,주출입구 접근로_CULISSU GAIA,이용가능,CULISSU GAIA
755,장애인 전용 주차구역_CULISSU GAIA,이용가능,CULISSU GAIA
756,장애인 전용 주차구역_GASTRO PUB-주점,이용불편,GASTRO PUB-주점
757,주출입구 높이차이 제거_GASTRO PUB-주점,이용가능,GASTRO PUB-주점
758,주출입구 접근로_Love Affair,이용가능,Love Affair
759,주출입구 높이차이 제거_Love Affair,이용가능,Love Affair
760,주출입구 접근로_MUG FOR RABBIT-카페,이용가능,MUG FOR RABBIT-카페
761,장애인 전용 주차구역_MUG FOR RABBIT-카페,이용가능,MUG FOR RABBIT-카페
762,주출입구 높이차이 제거_MUG FOR RABBIT-카페,이용가능,MUG FOR RABBIT-카페
763,주출입구 접근로_SK허브진,이용가능,SK허브진
764,장애인 전용 주차구역_SK허브진,이용가능,SK허브진
765,주출입구 접근로_Table 2425,이용가능,Table 2425
766,장애인 전용 주차구역_WA BAR,이용가능,WA BAR
767,주출입구 접근로_coffeesmith(휴게음식점),이용가능,coffeesmith(휴게음식점)
768,장애인 전용 주차구역_coffeesmith(휴게음식점),이용가능,coffeesmith(휴게음식점)
769,주출입구 접근로_enjoy taste & service,이용가능,enjoy taste & service
770,장애인 전용 주차구역_enjoy taste & service,이용가능,enjoy taste & service
771,주출입구 높이차이 제거_enjoy taste & service,이용가능,enjoy taste & service
772,주출입구 접근로_gs25-편의점,이용가능,gs25-편의점
773,장애인 전용 주차구역_gs25-편의점,이용가능,gs25-편의점
774,주출입구 접근로_wellz-가구판매,이용가능,wellz-가구판매
775,장애인 전용 주차구역_wellz-가구판매,이용가능,wellz-가구판매
776,주출입구 높이차이 제거_wellz-가구판매,이용가능,wellz-가구판매
777,주출입구 접근로_㈜젠 하이더 웨이-동남아음식,이용가능,㈜젠 하이더 웨이-동남아음식
778,장애인 전용 주차구역_㈜젠 하이더 웨이-동남아음식,이용가능,㈜젠 하이더 웨이-동남아음식
779,주출입구 접근로_㈜청담안,이용가능,㈜청담안
780,장애인 전용 주차구역_㈜청담안,이용가능,㈜청담안
781,주출입구 접근로_갤러리 시간,이용불편,갤러리 시간
782,주출입구 높이차이 제거_갤러리 시간,이용가능,갤러리 시간
783,주출입구 접근로_골든너겟,이용가능,골든너겟
784,장애인 전용 주차구역_골든너겟,이용가능,골든너겟
785,주출입구 높이차이 제거_골든너겟,이용가능,골든너겟
786,주출입구 접근로_곰씨네(씨크랩건물),이용불편,곰씨네(씨크랩건물)
787,주출입구 접근로_나무그늘-카페,이용불편,나무그늘-카페
788,주출입구 접근로_넘버원-호프&요리주점,이용가능,넘버원-호프&요리주점
789,장애인 전용 주차구역_넘버원-호프&요리주점,이용가능,넘버원-호프&요리주점
790,주출입구 접근로_농부의아들,이용가능,농부의아들
791,장애인 전용 주차구역_농부의아들,이용가능,농부의아들
792,주출입구 접근로_대원,이용가능,대원
793,장애인 전용 주차구역_대원,이용가능,대원
794,주출입구 높이차이 제거_대원,이용가능,대원
795,주출입구 접근로_대학로바탕골,이용가능,대학로바탕골
796,장애인 전용 주차구역_대학로바탕골,이용가능,대학로바탕골
797,주출입구 높이차이 제거_대학로바탕골,이용불편,대학로바탕골
798,주출입구 접근로_더캣츠,이용가능,더캣츠
799,주출입구 높이차이 제거_더캣츠,이용가능,더캣츠
800,주출입구 접근로_동원F&B,이용가능,동원F&B
801,장애인 전용 주차구역_동원F&B,이용불편,동원F&B
802,주출입구 높이차이 제거_동원F&B,이용불편,동원F&B
803,주출입구 접근로_동원빌딩(근린생활시설),이용가능,동원빌딩(근린생활시설)
804,장애인 전용 주차구역_동원빌딩(근린생활시설),이용가능,동원빌딩(근린생활시설)
805,주출입구 높이차이 제거_동원빌딩(근린생활시설),이용가능,동원빌딩(근린생활시설)
806,장애인 전용 주차구역_두울빌딩,이용가능,두울빌딩
807,주출입구 높이차이 제거_두울빌딩,이용불편,두울빌딩
808,주출입구 접근로_둠벙(현:수리수리)-요리&주점,이용가능,둠벙(현:수리수리)-요리&주점
809,장애인 전용 주차구역_둠벙(현:수리수리)-요리&주점,이용가능,둠벙(현:수리수리)-요리&주점
810,장애인 전용 주차구역_라부미텔,이용가능,라부미텔
811,주출입구 높이차이 제거_라부미텔,이용불편,라부미텔
812,주출입구 접근로_라운드-칵테일바,이용가능,라운드-칵테일바
813,장애인 전용 주차구역_라운드-칵테일바,이용가능,라운드-칵테일바
814,주출입구 접근로_렉스모터스-자동차판매점,이용가능,렉스모터스-자동차판매점
815,장애인 전용 주차구역_렉스모터스-자동차판매점,이용가능,렉스모터스-자동차판매점
816,주출입구 높이차이 제거_렉스모터스-자동차판매점,이용불편,렉스모터스-자동차판매점
817,장애인용 승강기_렉스모터스-자동차판매점,이용가능,렉스모터스-자동차판매점
818,주출입구 접근로_로얄더비랜드,이용가능,로얄더비랜드
819,장애인 전용 주차구역_로얄더비랜드,이용가능,로얄더비랜드
820,주출입구 높이차이 제거_로얄더비랜드,이용가능,로얄더비랜드
821,주출입구 접근로_뢰벤호프,이용불편,뢰벤호프
822,장애인 전용 주차구역_뢰벤호프,이용가능,뢰벤호프
823,주출입구 높이차이 제거_뢰벤호프,이용가능,뢰벤호프
824,주출입구 접근로_마법의 성(일반음식점),이용가능,마법의 성(일반음식점)
825,장애인 전용 주차구역_마법의 성(일반음식점),이용가능,마법의 성(일반음식점)
