,place_name,place_id,facility_available_name,facility_id,facility_is_available
569,종로3가,273,휠체어리프트,900569,이용가능
570,종로5가,274,화장실,900570,이용가능
571,종로5가,274,엘리베이터,900571,이용가능
572,종합운동장,275,화장실,900572,이용가능
573,종합운동장,275,엘리베이터,900573,이용가능
574,종합운동장,275,에스켈레이터,900574,이용가능
575,종합운동장,275,휠체어리프트,900575,이용가능
576,중계,278,에스켈레이터,900576,이용가능
577,중계,278,엘리베이터,900577,이용가능
578,중계,278,화장실,900578,이용가능
579,중계,278,휠체어리프트,900579,이용가능
580,중곡,279,화장실,900580,이용가능
581,중곡,279,엘리베이터,900581,이용가능
582,중곡,279,휠체어리프트,900582,이용가능
583,중화,282,화장실,900583,이용가능
584,중화,282,엘리베이터,900584,이용가능
585,증산,283,엘리베이터,900585,이용가능
586,증산,283,화장실,900586,이용가능
587,증산,283,에스켈레이터,900587,이용가능
588,지축,285,화장실,900588,이용가능
589,지축,285,휠체어리프트,900589,이용가능
590,창동,288,화장실,900590,이용가능
591,창동,288,엘리베이터,900591,이용가능
592,창신,289,화장실,900592,이용가능
593,창신,289,엘리베이터,900593,이용가능
594,창신,289,에스켈레이터,900594,이용가능
595,천왕,291,화장실,900595,이용가능
596,천왕,291,엘리베이터,900596,이용가능
597,천왕,291,에스켈레이터,900597,이용가능
598,천왕,291,휠체어리프트,900598,이용가능
599,천호,292,에스켈레이터,900599,이용가능
600,천호,292,화장실,900600,이용가능
601,천호,292,엘리베이터,900601,이용가능
602,천호,292,휠체어리프트,900602,이용가능
603,철산,293,엘리베이터,900603,이용가능
604,철산,293,화장실,900604,이용가능
605,철산,293,에스켈레이터,900605,이용가능
606,청구,294,화장실,900606,이용가능
607,청구,294,엘리베이터,900607,이용가능
608,청구,294,에스켈레이터,900608,이용가능
609,청담,295,화장실,900609,이용가능
610,청담,295,엘리베이터,900610,이용가능
611,청담,295,에스켈레이터,900611,이용가능
612,청담,295,휠체어리프트,900612,이용가능
613,청량리,296,화장실,900613,이용가능
614,청량리,296,엘리베이터,900614,이용가능
615,총신대입구,297,화장실,900615,이용가능
616,총신대입구,297,엘리베이터,900616,이용가능
617,총신대입구(이수),298,화장실,900617,이용가능
618,총신대입구(이수),298,에스켈레이터,900618,이용가능
619,총신대입구(이수),298,엘리베이터,900619,이용가능
620,총신대입구(이수),298,휠체어리프트,900620,이용가능
621,총신대입구(이수),298,수평보행기,900621,이용가능
622,충무로,299,화장실,900622,이용가능
623,충무로,299,엘리베이터,900623,이용가능
624,충무로,299,에스켈레이터,900624,이용가능
625,충무로,299,휠체어리프트,900625,이용가능
626,충정로,300,화장실,900626,이용가능
627,충정로,300,엘리베이터,900627,이용가능
628,충정로,300,에스켈레이터,900628,이용가능
629,태릉입구,301,화장실,900629,이용가능
630,태릉입구,301,엘리베이터,900630,이용가능
631,태릉입구,301,에스켈레이터,900631,이용가능
632,태릉입구,301,휠체어리프트,900632,이용가능
633,하계,304,화장실,900633,이용가능
634,하계,304,에스켈레이터,900634,이용가능
635,하계,304,엘리베이터,900635,이용가능
636,학동,305,화장실,900636,이용가능
637,학동,305,엘리베이터,900637,이용가능
638,학동,305,에스켈레이터,900638,이용가능
639,학여울,306,엘리베이터,900639,이용가능
640,학여울,306,화장실,900640,이용가능
641,학여울,306,에스켈레이터,900641,이용가능
642,학여울,306,휠체어리프트,900642,이용가능
643,한강진,307,엘리베이터,900643,이용가능
644,한강진,307,에스켈레이터,900644,이용가능
645,한강진,307,화장실,900645,이용가능
646,한성대입구,309,화장실,900646,이용가능
647,한성대입구,309,엘리베이터,900647,이용가능
648,한양대,310,엘리베이터,900648,이용가능
649,한양대,310,화장실,900649,이용가능
650,합정,311,화장실,900650,이용가능
651,합정,311,엘리베이터,900651,이용가능
652,합정,311,에스켈레이터,900652,이용가능
653,합정,311,휠체어리프트,900653,이용가능
654,행당,312,화장실,900654,이용가능
655,행당,312,엘리베이터,900655,이용가능
656,행당,312,에스켈레이터,900656,이용가능
657,혜화,313,화장실,900657,이용가능
658,혜화,313,엘리베이터,900658,이용가능
659,혜화,313,에스켈레이터,900659,이용가능
660,홍대입구,314,엘리베이터,900660,이용가능
661,홍대입구,314,화장실,900661,이용가능
662,홍제,315,화장실,900662,이용가능
663,홍제,315,엘리베이터,900663,이용가능
664,화랑대,317,엘리베이터,900664,이용가능
665,화랑대,317,에스켈레이터,900665,이용가능
666,화랑대,317,화장실,900666,이용가능
667,회현,322,엘리베이터,900667,이용가능
668,회현,322,에스켈레이터,900668,이용가능
669,회현,322,화장실,900669,이용가능
670,효창공원앞,323,화장실,900670,이용가능
671,효창공원앞,323,엘리베이터,900671,이용가능
672,효창공원앞,323,에스켈레이터,900672,이용가능
673,효창공원앞,323,휠체어리프트,900673,이용가능
