,place_name,place_address,lat,lon,category,place_id
4335,가락공원1(관리동) 화장실 화장실,서울특별시 송파구 가락동 37,37.494547,127.120977,toilet/open,10436
4336,가락공원2 (족구장) 화장실 화장실,서울특별시 송파구 가락동 37,37.522698999999996,127.126848,toilet/open,10437
4337,백토공원 화장실 화장실,서울특별시 송파구 오금동 6,37.497353000000004,127.14649299999999,toilet/open,10438
4338,상록(현충) 화장실,서울특별시 동작구 사당동 산12-2,37.4927553611,126.973213918,toilet/small,10439
4339,훼미리공원 화장실 화장실,서울특별시 송파구 문정동 150-5,37.496575,127.147079,toilet/open,10440
4340,오금공원1(관리동) 화장실 화장실,서울특별시 송파구 오금동 51,37.49565,127.14773400000001,toilet/open,10441
4341,오금공원2(테니스장) 화장실 화장실,서울특별시 송파구 오금동 51,37.496021999999996,127.147489,toilet/open,10442
4342,오금공원3(스케이트장) 화장실 화장실,서울특별시 송파구 오금동 51,37.495253000000005,127.149206,toilet/open,10443
4343,건너말 공원 화장실 화장실,서울특별시 송파구 가락동 110,37.494576,127.15053300000001,toilet/open,10444
4344,개롱공원1(관리동) 화장실 화장실,서울특별시 송파구 가락동 195,37.478614,127.11908999999999,toilet/open,10445
4345,개롱공원2(놀이터) 화장실 화장실,서울특별시 송파구 가락동 195,37.502725,127.108952,toilet/open,10446
4346,목련공원 화장실 화장실,서울특별시 송파구 오금동 156,37.502821999999995,127.09856,toilet/open,10447
4347,누에머리공원 화장실 화장실,서울특별시 송파구 오금동 110,37.50359,127.092203,toilet/open,10448
4348,두댐이공원 화장실 화장실,서울특별시 송파구 문정동 2,37.51232,127.12552,toilet/open,10449
4349,거여공원 화장실 화장실,서울특별시 송파구 거여동 11,37.512589,127.11395700000001,toilet/open,10450
4350,마천공원 화장실 화장실,서울특별시 송파구 마천동 11,37.510673,127.1208,toilet/open,10451
4351,연화공원 화장실 화장실,서울특별시 송파구 문정동 92,37.511115000000004,127.111104,toilet/open,10452
4352,송파근린공원 화장실 화장실,서울특별시 송파구 송파동 113,37.513018,127.11353600000001,toilet/open,10453
4353,풍납공원 화장실 화장실,서울특별시 송파구 풍납동 70-32,37.491231,127.11534099999999,toilet/open,10454
4354,천마산공원(안전공원) 화장실 화장실,서울특별시 송파구 마천동 산1-10,37.510249,127.12571299999999,toilet/open,10455
4355,천마산공원(축구장) 화장실 화장실,서울특별시 송파구 마천동 산1-10,37.497048,127.14818600000001,toilet/open,10456
4356,장지근린공원 화장실 화장실,서울특별시 송파구 장지동 851,37.526728000000006,127.113524,toilet/open,10457
4357,동남권유통단지 화장실 화장실,서울특별시 송파구 문정동 625,37.526396999999996,127.114103,toilet/open,10458
4358,중소기업정보관 화장실 화장실,서울특별시 송파구 잠실동 50-3,37.501847999999995,127.12758600000001,toilet/open,10459
4359,장미 화장실 화장실,서울특별시 송파구 신천동 6,37.508532,127.07690500000001,toilet/open,10460
4360,마천 공중화장실 화장실,서울특별시 송파구 마천동 125-13,37.518096,127.10063899999999,toilet/open,10461
4361,산성 화장실 화장실,서울특별시 송파구 마천동 277-30,37.477614,127.124945,toilet/open,10462
4362,제2거여 재래식 화장실,서울특별시 송파구 거여동 181-3,37.493210999999995,127.13636299999999,toilet/open,10463
4363,제3거여 재래식 화장실,서울특별시 송파구 거여동 181-415,37.506316,127.106633,toilet/open,10464
4364,제4거여 재래식 화장실,서울특별시 송파구 거여동 181-622,37.504578,127.138421,toilet/open,10465
4365,제5거여 재래식 화장실,서울특별시 송파구 거여동 181-639,37.509823,127.131592,toilet/open,10466
4366,제6거여 재래식 화장실,서울특별시 송파구 거여동 202-78,37.471111,127.126154,toilet/open,10467
4367,신도빌딩 화장실,서울특별시 송파구 가락동 10,37.50651,127.12056799999999,toilet/open,10468
4368,가윤빌딩 화장실,서울특별시 송파구 가락동 124-4,37.485902,127.13243100000001,toilet/open,10469
4369,세신타운 화장실,서울특별시 송파구 거여동 293-1,37.500049,127.147784,toilet/open,10470
4370,㈜송파상운-취약지역 화장실,서울특별시 송파구 마천동 330-2,37.500054,127.14313100000001,toilet/open,10471
4371,로데오 상점가-취약지역 화장실,서울특별시 송파구 문정동 29-24,37.493745000000004,127.144305,toilet/open,10472
4372,현윤빌딩 화장실,서울특별시 송파구 문정동 42-6 2층,37.492985,127.149482,toilet/open,10473
4373,향군회관A동 화장실,서울특별시 송파구 신천동 7-29,37.495843,127.124748,toilet/open,10474
4374,학수(현충) 화장실,서울특별시 동작구 사당동 산22-16,37.4926707943,126.966637299,toilet/small,10475
4375,현대드림밸리빌딩 화장실,서울특별시 송파구 방이동 34-2,37.492385,127.127344,toilet/open,10476
4376,대우유토피아 화장실,서울특별시 송파구 방이동 22,37.514685,127.114194,toilet/open,10477
4377,동성빌딩 화장실,서울특별시 송파구 방이동 64-1,37.53595,127.116069,toilet/open,10478
4378,세기빌딩 화장실,서울특별시 송파구 방이동 66-2,37.527741999999996,127.113877,toilet/open,10479
4379,삼성디지탈프라자 화장실,서울특별시 송파구 송파동 147-6,37.491772999999995,127.15561000000001,toilet/open,10480
4380,효창빌딩 화장실,서울특별시 송파구 잠실동 181-3,37.50275,127.12838899999998,toilet/open,10481
4381,성진빌딩 화장실,서울특별시 송파구 잠실동 181-2,37.514602000000004,127.10654099999999,toilet/open,10482
4382,삼성생명빌딩 화장실,서울특별시 송파구 풍납동 473-5,37.500471000000005,127.13546699999999,toilet/open,10483
4383,현대파크빌상가빌딩 화장실,서울특별시 송파구 가락동 147-2,37.493971,127.155076,toilet/open,10484
