,facility_detail_info,facility_available_name
209,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(배밭고을)
210,기울기 1/18이하,주출입구 접근로_근린생활시설(배밭고을)
211,보/차도 구분,주출입구 접근로_근린생활시설(배밭고을)
212,총주차대수47,장애인 전용 주차구역_근린생활시설(배밭고을)
213,전용주차대수  1,장애인 전용 주차구역_근린생활시설(배밭고을)
214,출입구와 가까운 곳에 설치,장애인 전용 주차구역_근린생활시설(배밭고을)
215,크기 미 확보,장애인 전용 주차구역_근린생활시설(배밭고을)
216,안내표지판 설치,장애인 전용 주차구역_근린생활시설(배밭고을)
217,평탄함,주출입구 접근로_근린생활시설(벽창우생고기전문점)
218,단차없음,주출입구 접근로_근린생활시설(벽창우생고기전문점)
219,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(벽창우생고기전문점)
220,기울기 1/18이하,주출입구 접근로_근린생활시설(벽창우생고기전문점)
221,보/차도 구분,주출입구 접근로_근린생활시설(벽창우생고기전문점)
222,총주차대수7,장애인 전용 주차구역_근린생활시설(벽창우생고기전문점)
223,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(벽창우생고기전문점)
224,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(벽창우생고기전문점)
225,상세정보 없음,주출입구 접근로_근린생활시설(봉평산골메밀촌)
226,총주차대수5,장애인 전용 주차구역_근린생활시설(봉평산골메밀촌)
227,경사로 1/12초과 설치,주출입구 높이차이 제거_근린생활시설(봉평산골메밀촌)
228,유효폭 1.2m 미만,주출입구 높이차이 제거_근린생활시설(봉평산골메밀촌)
229,손잡이 설치,주출입구 높이차이 제거_근린생활시설(봉평산골메밀촌)
230,평탄함,주출입구 접근로_근린생활시설(생고기전문점취어당)
231,단차없음,주출입구 접근로_근린생활시설(생고기전문점취어당)
232,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(생고기전문점취어당)
233,기울기 1/18이하,주출입구 접근로_근린생활시설(생고기전문점취어당)
234,보/차도 구분없음,주출입구 접근로_근린생활시설(생고기전문점취어당)
235,총주차대수4,장애인 전용 주차구역_근린생활시설(생고기전문점취어당)
236,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(생고기전문점취어당)
237,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(생고기전문점취어당)
238,상세정보 없음,주출입구 접근로_근린생활시설(엉터리생고기)
239,상세정보 없음,장애인 전용 주차구역_근린생활시설(엉터리생고기)
240,평탄함,주출입구 접근로_근린생활시설(진할매칼국수보쌈)
241,단차없음,주출입구 접근로_근린생활시설(진할매칼국수보쌈)
242,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(진할매칼국수보쌈)
243,기울기 1/18이하,주출입구 접근로_근린생활시설(진할매칼국수보쌈)
244,보/차도 구분,주출입구 접근로_근린생활시설(진할매칼국수보쌈)
245,상세정보 없음,장애인 전용 주차구역_근린생활시설(진할매칼국수보쌈)
246,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(진할매칼국수보쌈)
247,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(진할매칼국수보쌈)
248,손잡이 설치,주출입구 높이차이 제거_근린생활시설(진할매칼국수보쌈)
249,평탄함,주출입구 접근로_근린생활시설(착한고기)
250,단차없음,주출입구 접근로_근린생활시설(착한고기)
251,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(착한고기)
252,기울기 1/18이하,주출입구 접근로_근린생활시설(착한고기)
253,보/차도 구분없음,주출입구 접근로_근린생활시설(착한고기)
254,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(착한고기)
255,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(착한고기)
256,평탄함,주출입구 접근로_근린생활시설(천하뼈다귀감자탕)
257,단차없음,주출입구 접근로_근린생활시설(천하뼈다귀감자탕)
258,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(천하뼈다귀감자탕)
259,기울기 1/18이하,주출입구 접근로_근린생활시설(천하뼈다귀감자탕)
260,보/차도 구분없음,주출입구 접근로_근린생활시설(천하뼈다귀감자탕)
261,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_근린생활시설(천하뼈다귀감자탕)
262,유효폭 1.2m 이상,주출입구 높이차이 제거_근린생활시설(천하뼈다귀감자탕)
263,평탄함,주출입구 접근로_근린생활시설(친구네숯불닭갈비)
264,단차없음,주출입구 접근로_근린생활시설(친구네숯불닭갈비)
265,유효폭 1.2m 이상,주출입구 접근로_근린생활시설(친구네숯불닭갈비)
266,기울기 1/18이하,주출입구 접근로_근린생활시설(친구네숯불닭갈비)
